,English,English_cleaned,Spanish,French,German
9049,i was frightened,i was frightened,estaba asustado,j'étais effrayé,Ich hatte Angst
9050,i was frustrated,i was frustrated,estaba frustrado,j'étais frustré,Ich war frustriert
9051,i was happy then,i was happy then,yo era feliz entonces,j'étais heureux alors,da war ich glücklich
9052,i was having fun,i was having fun,Me estaba divirtiendo,je m'amusais,i hatte Spaß
9053,i was here first,i was here first,yo estaba aqui primero,j'étais ici en premier,Ich war hier als erstes
9054,i was humiliated,i was humiliated,fui humillado,j'ai été humilié,Ich wurde gedemütigt
9055,i was in all day,i was in all day,estuve todo el dia,j'étais toute la journée,Ich war den ganzen Tag drin
9056,i was just angry,i was just angry,solo estaba enojado,j'étais juste en colère,ich war nur sauer
9057,i was on the bus,i was on the bus,yo estaba en el autobús,j'étais dans le bus,Ich war im Bus
9058,i was overweight,i was overweight,tenía sobrepeso,j'étais en surpoids,Ich war übergewichtig
9059,i was quite calm,i was quite calm,yo estaba bastante tranquilo,j'étais assez calme,ich war ganz ruhig
9060,i was so unhappy,i was so unhappy,estaba tan infeliz,j'étais si malheureux,Ich war so unglücklich
9061,i was speechless,i was speechless,Estaba sin palabras,j'étais sans voix,ich war sprachlos
9062,i was sure of it,i was sure of it,estaba seguro de ello,j'en étais sûr,ich war mir sicher
9063,i was threatened,i was threatened,me amenazaron,j'ai été menacé,ich wurde bedroht
9064,i was unprepared,i was unprepared,no estaba preparado,je n'étais pas préparé,Ich war unvorbereitet
9065,i was very lucky,i was very lucky,Tuve mucha suerte,j'ai eu beaucoup de chance,ich war sehr glücklich
9066,i was very proud,i was very proud,estaba muy orgulloso,j'étais très fier,Ich war sehr stolz
9067,i was very tired,i was very tired,estuve muy cansado,j'étais très fatigué,ich war sehr müde
9068,i washed my feet,i washed my feet,me lavé los pies,je me suis lavé les pieds,Ich habe meine Füße gewaschen
9069,i washed the dog,i washed the dog,lavé al perro,j'ai lavé le chien,Ich habe den Hund gewaschen
9070,i wasn't in love,i was not in love,yo no estaba enamorado,je n'étais pas amoureux,Ich war nicht verliebt
9071,i wasn't invited,i was not invited,no fui invitado,je n'ai pas été invité,ich wurde nicht eingeladen
9072,i wasn't kidding,i was not kidding,no estaba bromeando,je ne plaisantais pas,Ich habe nicht gescherzt
9073,i wasn't serious,i was not serious,no hablaba en serio,je n'étais pas sérieux,Ich war nicht ernst
9074,i waved him back,i waved him back,le devolví el saludo,je lui ai fait signe de revenir,Ich winkte ihn zurück
9075,i went to school,i went to school,Fui a la escuela,Je suis allé à l'école,Ich ging zur Schule
9076,i will shoot him,i will shoot him,le dispararé,je vais lui tirer dessus,Ich werde ihn erschießen
9077,i will teach you,i will teach you,te enseñare,Je vais t'apprendre,Ich werde dich lehren
9078,i will translate,i will translate,yo traduciré,je vais traduire,Ich werde übersetzen
9079,i will try again,i will try again,lo intentaré otra vez,Je vais réessayer,Ich werde es nochmal versuchen
9080,i wish them luck,i wish them luck,les deseo suerte,je leur souhaite bonne chance,Ich wünsche ihnen Glück
9081,i won the raffle,i won the raffle,gané la rifa,j'ai gagné le tirage au sort,Ich habe die Verlosung gewonnen
9082,i won't be quiet,i will not be quiet,no me quedaré callado,je ne serai pas tranquille,Ich werde nicht schweigen
9083,i won't eat that,i will not eat that,no comeré eso,je ne mangerai pas ça,ich werde das nicht essen
9084,i won't need you,i will not need you,no te necesitaré,je n'aurai pas besoin de toi,Ich werde dich nicht brauchen
9085,i won't tell tom,i will not tell tom,no le diré a tom,je ne le dirai pas,Ich werde es Tom nicht sagen
9086,i work at a bank,i work at a bank,Trabajo en un banco,je travaille dans une banque,Ich arbeite in einer Bank
9087,i work full time,i work full time,trabajo a tiempo completo,je travaille à plein temps,Ich arbeite Vollzeit
9088,i work in a bank,i work in a bank,yo trabajo en un banco,je travaille dans une banque,Ich arbeite in einer Bank
9089,i work on monday,i work on monday,trabajo el lunes,je travaille le lundi,Ich arbeite am Montag
9090,i work on sunday,i work on sunday,trabajo los domingos,je travaille le dimanche,ich arbeite sonntags
9091,i work on a farm,i work on a farm,trabajo en una granja,je travaille dans une ferme,Ich arbeite auf einem Bauernhof
9092,i worry too much,i worry too much,me preocupo demasiado,je m'inquiète trop,Ich mache mir zu viele Sorgen
9093,i would complain,i would complain,me quejaría,je me plaindrais,ich würde reklamieren
9094,i wrote the book,i wrote the book,yo escribi el libro,j'ai écrit le livre,Ich habe das Buch geschrieben
9095,i wrote the note,i wrote the note,escribí la nota,j'ai écrit la note,Ich habe die Notiz geschrieben
9096,i'd be delighted,i would be delighted,Estaría encantado,Je serais ravi,Ich würde mich freuen
9097,i'd have said no,i would have said no,hubiera dicho que no,j'aurais dit non,ich hätte nein gesagt
9098,i'd like a raise,i would like a raise,me gustaria un aumento,je voudrais une augmentation,Ich möchte eine Gehaltserhöhung
9099,i'd love to stay,i would love to stay,me encantaría quedarme,j'aimerais rester,Ich würde gerne bleiben
9100,i'll be at tom's,i will be at tom s,estaré en tom s,je serai à toms,ich werde bei tom s sein
9101,i'll be discreet,i will be discreet,seré discreto,je serai discret,Ich werde diskret sein
9102,i'll be in touch,i will be in touch,estaré en contacto,je resterai en contact,ich werde in Kontakt bleiben
9103,i'll beat you up,i will beat you up,te golpearé,je vais te battre,ich werde dich zusammenschlagen
9104,i'll bring lunch,i will bring lunch,traeré el almuerzo,j'apporterai le déjeuner,Ich bringe das Mittagessen mit
9105,i'll check again,i will check again,Revisaré nuevamente,je vais revérifier,Ich werde es erneut prüfen
9106,i'll clean it up,i will clean it up,lo limpiaré,je vais le nettoyer,Ich werde es aufräumen
9107,i'll come by car,i will come by car,vendré en coche,je viendrai en voiture,Ich komme mit dem Auto
9108,i'll demonstrate,i will demonstrate,voy a demostrar,je vais démontrer,Ich werde demonstrieren
9109,i'll do anything,i will do anything,haré lo que sea,je ferai n'importe quoi,Ich werde alles tun
9110,i'll fix a drink,i will fix a drink,voy a preparar una bebida,je vais préparer un verre,Ich mache einen Drink
9111,i'll forgive you,i will forgive you,te perdonaré,Je vais te pardonner,ich werde dir vergeben
9112,i'll get my coat,i will get my coat,conseguiré mi abrigo,je vais chercher mon manteau,Ich hole meinen Mantel
9113,i'll get my keys,i will get my keys,conseguiré mis llaves,je vais chercher mes clés,Ich bekomme meine Schlüssel
9114,i'll get the car,i will get the car,conseguiré el coche,je vais chercher la voiture,Ich werde das Auto bekommen
9115,i'll gladly come,i will gladly come,con gusto vendré,je viendrai avec plaisir,ich komme gerne
9116,i'll go by plane,i will go by plane,iré en avión,je vais prendre l'avion,Ich werde mit dem Flugzeug fliegen
9117,i'll go in first,i will go in first,entraré primero,je vais entrer en premier,Ich gehe zuerst hinein
9118,i'll go shopping,i will go shopping,Iré de compras,Je vais faire du shopping,Ich werde einkaufen gehen
9119,i'll go this way,i will go this way,iré por este camino,je vais passer par là,Ich werde diesen Weg gehen
9120,i'll go with you,i will go with you,Iré contigo,j'irais avec toi,Ich werde mit dir gehen
9121,i'll handle this,i will handle this,manejaré esto,je vais gérer ça,ich werde mich darum kümmern
9122,i'll have dinner,i will have dinner,voy a cenar,Je vais dîner,ich werde zu Abend essen
9123,i'll ignore that,i will ignore that,ignoraré eso,je vais ignorer ça,ich werde das ignorieren
9124,i'll never learn,i will never learn,nunca aprenderé,je n'apprendrai jamais,Ich werde es nie lernen
9125,i'll never leave,i will never leave,Nunca me iré,je ne partirai jamais,Ich werde niemals gehen
9126,i'll pack my bag,i will pack my bag,empacaré mi bolso,je vais faire mon sac,Ich werde meine Tasche packen
9127,i'll pay for you,i will pay for you,Pagaré por ti,je vais payer pour toi,Ich werde für dich bezahlen
9128,i'll protect tom,i will protect tom,protegeré a tom,je protégerai tom,Ich werde Tom beschützen
9129,i'll protect you,i will protect you,Te protegeré,je te protègerai,ich werde dich schützen
9130,i'll say no more,i will say no more,no diré más,Je vais rien dire de plus,Ich werde nicht mehr sagen
9131,i'll shut up now,i will shut up now,Ahora me voy a callar,Je vais me taire maintenant,Ich werde jetzt die Klappe halten
9132,i'll sleep on it,i will sleep on it,voy a dormir en eso,je vais dormir dessus,ich werde darüber schlafen
9133,i'll study a lot,i will study a lot,voy a estudiar mucho,je vais beaucoup étudier,Ich werde viel lernen
9134,i'll take a beer,i will take a beer,tomaré una cerveza,je vais prendre une bière,Ich nehme ein Bier
9135,i'll take it all,i will take it all,lo tomaré todo,je vais tout prendre,Ich werde alles nehmen
9136,i'll treasure it,i will treasure it,lo atesoraré,je le chérirai,Ich werde es schätzen
9137,i'll try my luck,i will try my luck,voy a probar mi suerte,je vais tenter ma chance,Ich werde mein Glück versuchen
9138,i'll wash dishes,i will wash dishes,lavaré los platos,je ferai la vaisselle,Ich werde Geschirr spülen
9139,i'm 18 years old,i am 18 years old,tengo 18 años,j'ai 18 ans,ich bin 18 Jahre alt
9140,i'm 25 years old,i am 25 years old,tengo 25 años,j'ai 25 ans,ich bin 25 Jahre alt
9141,i'm tom's cousin,i am tom s cousin,soy el primo de tom,je suis le cousin de tom,Ich bin Toms Cousin
9142,i'm tom's sister,i am tom s sister,soy la hermana de tom,je suis la soeur de tom,Ich bin Toms Schwester
9143,i'm a bank clerk,i am a bank clerk,soy empleado de banco,je suis employé de banque,Ich bin Bankkaufmann
9144,i'm a bit hungry,i am a bit hungry,tengo un poco de hambre,j'ai un peu faim,Ich bin ein bisschen hungrig
9145,i'm a bookkeeper,i am a bookkeeper,soy contador,je suis comptable,Ich bin Buchhalter
9146,i'm a doctor now,i am a doctor now,ahora soy medico,je suis médecin maintenant,Ich bin jetzt Arzt
9147,i'm a lonely man,i am a lonely man,soy un hombre solitario,je suis un homme seul,Ich bin ein einsamer Mann
9148,i'm a normal guy,i am a normal guy,soy un chico normal,je suis un gars normal,Ich bin ein normaler Typ
9149,i'm a programmer,i am a programmer,Soy un programador,Je suis un programmeur,Ich bin Programmierer
9150,i'm a shutterbug,i am a shutterbug,soy un obturador,je suis un photographe,Ich bin ein Fotograf
9151,i'm a vegetarian,i am a vegetarian,soy vegetariano,je suis végétarien,Ich bin Vegetarier
9152,i'm able to swim,i am able to swim,soy capaz de nadar,je sais nager,Ich kann schwimmen
9153,i'm afraid to go,i am afraid to go,tengo miedo de ir,j'ai peur d'y aller,Ich habe Angst zu gehen
9154,i'm all confused,i am all confused,estoy todo confundido,je suis tout confus,Ich bin ganz verwirrt
9155,i'm all for that,i am all for that,Estoy a favor de eso,je suis tout à fait pour ça,ich bin dafür
9156,i'm almost there,i am almost there,Ya casi estoy allí,j'y suis presque,Ich bin fast da
9157,i'm already done,i am already done,ya he terminado,j'ai déjà fini,ich bin schon fertig
9158,i'm already rich,i am already rich,ya soy rico,je suis déjà riche,ich bin schon reich
9159,i'm always happy,i am always happy,siempre estoy feliz,je suis toujours heureux,ich bin immer glücklich
9160,i'm always moody,i am always moody,siempre estoy de mal humor,je suis toujours de mauvaise humeur,Ich bin immer launisch
9161,i'm always tired,i am always tired,siempre estoy cansado,je suis toujours fatigué,ich bin immer müde
9162,i'm ambidextrous,i am ambidextrous,soy ambidiestro,je suis ambidextre,ich bin beidhändig
9163,i'm an alcoholic,i am an alcoholic,soy alcohólico,je suis alcoolique,Ich bin Alkoholiker
9164,i'm at the beach,i am at the beach,Estoy en la playa,je suis à la plage,Ich bin am Strand
9165,i'm between jobs,i am between jobs,estoy entre trabajos,je suis entre deux boulots,Ich bin zwischen Jobs
9166,i'm by your side,i am by your side,estoy a tu lado,je suis à tes côtés,Ich bin an deiner Seite
9167,i'm confused now,i am confused now,Yo estoy confundido ahora,je suis confus maintenant,Jetzt bin ich verwirrt
9168,i'm conservative,i am conservative,soy conservador,je suis conservateur,Ich bin konservativ
9169,i'm disappointed,i am disappointed,Estoy decepcionado,je suis déçu,Ich bin enttäuscht
9170,i'm disorganized,i am disorganized,estoy desorganizado,je suis désorganisé,Ich bin unorganisiert
9171,i'm dissatisfied,i am dissatisfied,estoy insatisfecho,je suis mécontent,ich bin unzufrieden
9172,i'm done with it,i am done with it,Acabé con eso,j'en ai fini avec ça,ich bin fertig damit
9173,i'm eating beans,i am eating beans,estoy comiendo frijoles,je mange des haricots,Ich esse Bohnen
9174,i'm eating lunch,i am eating lunch,estoy almorzando,je mange mon déjeuner,ich esse Mittag
9175,i'm fairly happy,i am fairly happy,estoy bastante feliz,je suis assez content,Ich bin ziemlich glücklich
9176,i'm feeling good,i am feeling good,me siento bien,Je me sens bien,ich fühle mich gut
9177,i'm feeling sick,i am feeling sick,Me estoy sintiendo mal,je me sens malade,ich fühle mich krank
9178,i'm fine with it,i am fine with it,Estoy bien con eso,ça me va,Ich bin damit einverstanden
9179,i'm freaking out,i am freaking out,me estoy volviendo loco,je flippe,ich dreh durch
9180,i'm from america,i am from america,soy de América,je viens d'Amérique,Ich komme aus Amerika
9181,i'm from the fbi,i am from the fbi,soy del fbi,je suis du fbi,ich bin vom fbi
9182,i'm going to bed,i am going to bed,me voy a la cama,Je vais au lit,Ich gehe schlafen
9183,i'm going to die,i am going to die,voy a morir,je vais mourir,ich werde sterben
9184,i'm going to try,i am going to try,Voy a intentarlo,je vais essayer,Ich werde es versuchen
9185,i'm good for now,i am good for now,estoy bien por ahora,je vais bien pour l'instant,Ich bin gut für jetzt
